author_id,author_name
1,José Mauro de Vasconcelos
2,Nguyễn Đoàn Minh Thư
3,Tim Marshall
4,Paulo Coelho
5,
6,Higashino Keigo
7,Shannon Thomas
8,Matt Haig
9,Lê Bảo Ngọc
10,Vãn Tình
11,Hae Min
12,Minh Niệm
13,Andrea Hirata
14,Cao Minh
15,Jo Hemmings
16,Đặng Hoàng Giang
17,Samuel Bjork
18,Universe
19,Antoine De Saint-Exupéry
20,Nguyên Phong
21,Kuroyanagi Tetsuko
22,David A. Phillips
23,Victor Hugo
24,Gabriel Garcia Marquez
25,Albert Camus
26,Ngô Sa Thạch
27,Koga Fumitake
28,John Boyne
29,Haruki Murakami
30,Thomas Harris
31,Morgan Housel
32,Cho Chang - In
33,Frank Herbert
34,Rosie Nguyễn
35,Tống Mặc
36,Nina George
37,Kawabata Yasunari
38,Jerome David Salinger
39,Trần Đặng Đăng Khoa
40,Diệp Hồng Vũ
41,John Gray
42,Jane Austen
43,Ken Mogi
44,Napoleon Hill
45,Rhee Dongwoo
46,Kazuo Ishiguro
47,Trương Tiếu Hằng
48,Yoo Eun Jung
49,James Albert Michener
50,Khương Nguy
51,Tạ Quốc Kế
52,Richard Nicholls
53,Dịch giả Bùi Thị Quỳnh Chi
54,Albert Rutherford
55,Annie Ernaux
56,William Golding
57,Allan & Barbara Pease
58,Thích Nhất Hạnh
59,Trịnh Lịch Nhi
60,David R.Hawkins
61,Ca Tây
62,Natsukawa Sosuke
63,Mai Lan Hương
64,Hiên
65,Vũ Bằng
66,William J. O’Neil
67,Lưu Khánh Bang
68,Joseph Murphyc
69,Rolf Dobelli
70,Chung Ju Yung
71,Ngọc Bảo An
72,Donna M. Genett
73,Song Hong Bing
74,Naoya Matsumoto
75,Phương Bạch Vũ
76,Don Gabor
77,Kaito
78,Yuval Noah Harari
79,Richard Holloway
80,Harper Lee
81,Diana Wynne Jones
82,Thomas Sowell
83,Mục Qua
84,Tôn Tử
85,Phạm Hằng Nguyên
86,Benjamin Graham
87,GEORGE SAMUEL CLASON
88,Trương Anh Ngọc
89,Ahmed Saadawi
90,Heather Morris
91,Dale Carnegie
92,Stuart Farrimond
93,Na Lê
94,Prentice Mulford
95,Yoshichi Shimada
96,Phil Town
97,DK
98,E.H. Gombrich
99,Kishimi Ichiro
100,Brian L Weiss
101,William B. Irvine
102,Cole Nussbaumer Knaflic
103,Nhà tâm thần học DaiGo
104,Osho
105,Bạch Tô
106,Robert Greene
107,Yamaguchi Tsubasa
108,Rubén Villahermosa Chaves
109,Mihaly Csikszentmihalyi
110,Andrzej Sapkowski
111,Kamui Fujiwara
112,.
113,Linh – Minh Mẫn
114,Yasuhisa Hara
115,Tùng Nâm
116,Robert T. Kiyosaki
117,David Walliams
118,Choi Kwanghyun
119,Nguyễn Phương Mai
120,Emily Bronte
121, Song Hong Bing
122,Nguyễn Nhật Ánh
123,Gege Akutami
124,Thảo Thảo
125,Trần Lộ
126,Eran Katz
127,Tiểu Dã
128,Huỳnh Vĩnh Sơn
129, Thích Nhất Hạnh
130,Viktor Emil Frankl
131,Osamu Tezuka
132,Shin Kyung Sook
133,Kulzsc
134,Akira Toriyama
135,Og Mandino
136,Nguyễn Ngọc Thạch
137,Gosho Aoyama
138,Steve Harvey
139,Hân Nhiên
140,Aleksandra Mizielińska
141,Rio Creative
142,Benedict Carey
143,BS Ngô Đức Hùng
144,Reki Kawahara
145,Joy Woodward
146,E.B.White
147,Mishima Yukio
148,Mario Puzo
149,Giản Tư Trung
150,Kyo Shirodaira
151,Vladimir Nabokov
152,Robin Sharma
153,Richard Adams
154,Sara Pennypacker
155,David McRaney
156,Cấn Mạnh Linh
157,Shintaro Mugiwara
158,Hiromu Arakawa
159,Choi Kwanghuyn
160,Wataru Hinekure
161,Eckhart Tolle
162,Minh Dự
163,Lucy Maud Montgomery
164,Mộc Qua Hoàng
165,Luis Sepulveda
166,Guillaume Musso
167,Markus Rach
168,Eddie Reynolds
169,Lưu Liễm Tử
170,Thạch Lam
171,Simon Sinek
172,Kim Ran Do
173,Frances Hodgson Burnett
174,Tương Tử Bối
175,Neil Gaiman
176,Vương Đào
177,Marci Shimoff
178,Niall Kishtainy
179,Ray Bradbury
180,Ilse Sand
181,Minato Kanae
182,Hiroyuki Takei
183,Trương Học Vĩ
184,Miêu Công Tử
185,David Crystal
186,Én – Thích A Tèo
187,Masato Takeuchi
188,Phạm Lữ Ân
189,Thomas Cathcart & Daniel Klein
190,Uketsu
191,Chi Nguyễn – The Present Writer
192,Giulia Enders
193,Ann Swanson
194,Walter Macken
195,Hachun Lyonnet (Hà Chũn)
196,Gárdos Péter
197,Alan Phan
198,Mặc Hương Đồng Khứu
199,Daniel Kahneman
200,Austin Kleon
201,Louis Sachar
202,Ở Đây Zui Nè
203,Steven Schuster
204,Michel Bussi
205,Yoshitoki Oima
206,Nguyễn Trí Đoàn
207,Thich Nhất Hạnh
208,Lý Tử Quyên
209,Trí
210,Eric Barker
211,Jeffrey Archer
212,Jack Canfield & DD.Watkins
213,John Perkins
214,Song Hong Binh
215,BS. Lê Ngọc Anh Thy
216,The Windy
217,Kenji Shimizu
218,Bambam
219,Lê Thu Hà
220,Cá yêu tinh – Rei
221,Trương Manh
222,Lý Tân
223,Mai Xuân Đạt
224,Ken Wakui
225,Yuzo Takada
226,Robert T Kiyosaki
227,Steve Nison
228,Khương Lệ Bình
229,Jeon Hong Jin
230,Ayn Rand
231,Kurban Said
232,Jiří Linhart
233,Stephen R. Covey
